ID,Category,Subcategory,Query,Success,Latency_ms,Cache_Type,Similarity,Context_Compressed,Query_Compressed,Compression_Ratio,Compression_Savings,Complexity,Strategy,Tokens_Used,Tokens_Saved,Savings_%,Reward,Error
1,exact_cache,first_occurrence,What is Python programming language?,True,29500,miss,,False,False,1.00,0,simple,cheap,313,154,33.0,0.9498,
2,exact_cache,exact_repeat,What is Python programming language?,True,3,exact,,False,False,1.00,0,simple,cheap,0,313,0.0,,
3,exact_cache,first_occurrence,Explain what machine learning is,True,23416,miss,,False,False,1.00,0,simple,cheap,312,203,39.4,0.9370,
4,exact_cache,exact_repeat,Explain what machine learning is,True,5,exact,,False,False,1.00,0,simple,cheap,0,312,0.0,,
5,exact_cache,first_occurrence,What are the benefits of cloud computing?,True,21406,miss,,False,False,1.00,0,simple,cheap,315,167,34.6,0.9504,
6,exact_cache,exact_repeat,What are the benefits of cloud computing?,True,5,exact,,False,False,1.00,0,simple,cheap,0,315,0.0,,
7,semantic_cache,seed_query,What is artificial intelligence and how does it work?,True,19563,miss,,False,False,1.00,0,simple,cheap,317,212,40.1,0.9404,
8,semantic_cache,high_similarity,Explain artificial intelligence and its workings,True,12,semantic_direct,0.855,False,False,1.00,0,simple,cheap,0,317,0.0,,
9,semantic_cache,medium_similarity,Tell me about AI technology,True,18333,miss,,False,False,1.00,0,simple,cheap,312,212,40.5,0.9561,
10,semantic_cache,seed_query,What is deep learning and neural networks?,True,21876,miss,,False,False,1.00,0,simple,cheap,315,212,40.2,0.9473,
11,semantic_cache,high_similarity,Explain deep learning with neural network examples,True,20063,miss,,False,False,1.00,0,simple,cheap,314,212,40.3,0.9490,
12,semantic_cache,medium_similarity,How do neural nets learn?,True,20118,miss,,False,False,1.00,0,simple,cheap,313,212,40.4,0.9574,
13,semantic_cache,low_similarity,What is quantum computing?,True,13215,miss,,False,False,1.00,0,simple,cheap,229,91,28.4,0.9668,
14,semantic_cache,context_test,Describe how AI systems are built,True,21755,miss,,False,False,1.00,0,simple,cheap,313,212,40.4,0.9546,
15,compression,long_query,Please summarize this text and extract key points: The quick brown fox jumps ove,True,7709,miss,,False,True,0.29,430,complex,cheap,288,418,59.2,0.9824,
16,compression,long_query,Analyze this document and provide insights: Machine learning is a subset of arti,True,22429,miss,,False,True,0.22,396,complex,cheap,418,533,56.0,0.9452,
17,compression,long_query,"Extract the main ideas from: Data science combines statistics, programming, and ",True,6325,miss,,False,True,0.18,466,complex,cheap,233,372,61.5,0.9762,
18,compression,long_query,Summarize and explain: Cloud computing provides on-demand access to computing re,True,6288,miss,,False,True,0.25,396,complex,cheap,206,445,68.4,0.9879,
19,compression,medium_query,Explain the concept of containerization in software development and how Docker w,True,19117,miss,,False,False,1.00,0,simple,cheap,320,212,39.8,0.9580,
20,compression,short_query,What is Kubernetes?,True,15698,miss,,False,False,1.00,0,simple,cheap,311,56,15.3,0.9542,
21,compression,context_compression,Compare artificial intelligence approaches,True,19158,miss,,False,False,1.00,0,simple,cheap,311,212,40.5,0.9650,
22,compression,context_compression,How is deep learning different from traditional ML?,True,19523,miss,,False,False,1.00,0,simple,cheap,316,212,40.2,0.9593,
23,orchestrator,simple,Hi,True,1975,miss,,False,False,1.00,0,simple,cheap,17,0,0.0,0.9944,
24,orchestrator,simple,2+2?,True,2307,miss,,False,False,1.00,0,simple,cheap,19,0,0.0,0.9957,
25,orchestrator,simple,What is the capital of Japan?,True,2213,miss,,False,False,1.00,0,simple,cheap,21,0,0.0,0.9953,
26,orchestrator,medium,Compare Python and JavaScript for web development,True,17553,miss,,False,False,1.00,0,simple,cheap,315,212,40.2,0.9622,
27,orchestrator,medium,What are the pros and cons of microservices architecture?,True,18422,miss,,False,False,1.00,0,simple,cheap,318,212,40.0,0.9618,
28,orchestrator,complex,"Write a comprehensive analysis of distributed systems design patterns, including",True,15047,miss,,False,False,1.00,0,medium,cheap,329,212,39.2,0.9616,
29,orchestrator,complex,Explain the mathematical foundations of gradient descent optimization in neural ,True,18016,miss,,False,False,1.00,0,medium,cheap,331,212,39.0,0.9558,
30,orchestrator,constrained,Give me a brief one-sentence answer: what is recursion?,True,2792,miss,,False,False,1.00,0,simple,cheap,45,2,4.3,0.9936,
31,bandit,cheap_trigger,What color is the sky?,True,4936,miss,,False,False,1.00,0,simple,cheap,107,0,0.0,0.9841,
32,bandit,cheap_trigger,How many days in a week?,True,1706,miss,,False,False,1.00,0,simple,cheap,22,1,4.3,0.9966,
33,bandit,cheap_trigger,What is 10 * 5?,True,2027,miss,,False,False,1.00,0,simple,cheap,23,0,0.0,0.9961,
34,bandit,balanced_trigger,Explain the difference between HTTP and HTTPS,True,14771,miss,,False,False,1.00,0,simple,cheap,314,71,18.4,0.9511,
35,bandit,balanced_trigger,What are REST API best practices?,True,14710,miss,,False,False,1.00,0,simple,cheap,314,212,40.3,0.9637,
