ID,Category,Query,Success,Latency_ms,Cache_Hit,Cache_Type,Tokens_Saved,Savings_%,LLMLingua_Used,Compression_Ratio,Strategy,Error
1,cache_exact,What is Python?,False,0.0,False,,0,0.0,False,1.00,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
2,cache_exact,What is Python?,True,3.5,True,exact,0,0.0,False,1.00,cheap,
3,cache_exact,What is Python?,True,3.8,True,exact,0,0.0,False,1.00,cheap,
4,cache_exact,Explain machine learning,False,0.0,False,,0,0.0,False,1.00,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
5,cache_exact,Explain machine learning,True,3.0,True,exact,0,0.0,False,1.00,cheap,
6,semantic,What is artificial intelligence?,False,0.0,False,,0,0.0,False,1.00,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
7,semantic,Tell me about AI,False,0.0,False,,0,0.0,False,1.00,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
8,semantic,Explain AI technology,False,0.0,False,,0,0.0,False,1.00,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
9,semantic,What is deep learning?,False,0.0,False,,0,0.0,False,1.00,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
10,semantic,Explain neural networks and deep learning,False,0.0,False,,0,0.0,False,1.00,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
11,compression,Summarize this: The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy,False,0.0,False,,0,0.0,False,1.00,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
12,compression,Analyze this document: Machine learning is a subset of artificial intelligence. Machine learning is ,False,0.0,False,,0,0.0,False,1.00,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
13,compression,"Extract key points from: Data science involves statistics, programming, and domain knowledge. Data s",False,0.0,False,,0,0.0,False,1.00,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
14,orchestrator_simple,Hi,False,0.0,False,,0,0.0,False,1.00,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
15,orchestrator_simple,What time is it?,False,0.0,False,,0,0.0,False,1.00,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
16,orchestrator_complex,Explain the theory of relativity and its implications for modern physics,False,0.0,False,,0,0.0,False,1.00,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
17,orchestrator_complex,Write a comprehensive analysis of global economic trends in 2024,False,0.0,False,,0,0.0,False,1.00,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
18,orchestrator_medium,Compare and contrast three programming paradigms with examples,False,0.0,False,,0,0.0,False,1.00,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
19,bandit_cheap,Quick answer: 2+2?,False,0.0,False,,0,0.0,False,1.00,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
20,bandit_premium,Explain quantum computing in detail with examples,False,0.0,False,,0,0.0,False,1.00,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
21,bandit_balanced,What is the capital of France?,False,0.0,False,,0,0.0,False,1.00,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
22,bandit_balanced,List 5 programming languages,False,0.0,False,,0,0.0,False,1.00,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
23,bandit_premium,Solve this optimization problem: minimize x^2 + y^2,False,0.0,False,,0,0.0,False,1.00,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
24,preferences,Explain cloud computing,False,0.0,False,,0,0.0,False,1.00,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
25,preferences,Tell me about databases in a technical way,False,0.0,False,,0,0.0,False,1.00,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
26,preferences,Give me a simple explanation of APIs,False,0.0,False,,0,0.0,False,1.00,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
27,preferences,List the benefits of microservices,False,0.0,False,,0,0.0,False,1.00,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
28,edge_case,,False,0.0,False,,0,0.0,False,1.00,,Empty query
29,edge_case,x,False,0.0,False,,0,0.0,False,1.00,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
30,edge_case,????????????????????????????????????????????????????????????????????????????????????????????????????,False,0.0,False,,0,0.0,False,1.00,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
31,edge_case,What is very very very very very very very very very very very very very very very very very very ve,False,0.0,False,,0,0.0,False,1.00,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
32,multiturn,What is React?,False,0.0,False,,0,0.0,False,1.00,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
33,multiturn,How does it compare to Vue?,False,0.0,False,,0,0.0,False,1.00,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
34,multiturn,Which one should I use for a large project?,False,0.0,False,,0,0.0,False,1.00,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
35,technical,What is the time complexity of quicksort?,False,0.0,False,,0,0.0,False,1.00,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
36,technical,Explain the CAP theorem in distributed systems,False,0.0,False,,0,0.0,False,1.00,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
37,technical,What are SOLID principles?,False,0.0,False,,0,0.0,False,1.00,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
38,technical,Describe the difference between REST and GraphQL,False,0.0,False,,0,0.0,False,1.00,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
39,quality,Write a haiku about programming,False,0.0,False,,0,0.0,False,1.00,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
40,quality,Explain blockchain to a 5-year-old,False,0.0,False,,0,0.0,False,1.00,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
41,quality,What are best practices for code review?,False,0.0,False,,0,0.0,False,1.00,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
