Query,Category,Subcategory,Baseline Tokens,Optimized Tokens,Savings,Savings %,Cache Hit,Cache Type,Similarity,Strategy,Context Injected,Query Compressed,Context Compressed
What is Python programming?,cache,exact_hit_seed,466,312,154,33.0%,False,,,cheap,False,False,False
Explain artificial intelligence,cache,exact_hit_seed,522,310,212,40.6%,False,,,cheap,False,False,False
What is machine learning?,cache,exact_hit_seed,524,312,212,40.5%,False,,,cheap,False,False,False
Tell me about Python programming,cache,semantic_direct,524,0,524,100.0%,True,semantic_direct,0.9162245988845825,cheap,False,False,False
Can you explain artificial intelligence?,cache,semantic_direct,450,0,450,100.0%,True,semantic_direct,0.9412392377853394,cheap,False,False,False
I want to understand machine learning,cache,semantic_direct,525,616,0,0.0%,True,context,0.7977551221847534,cheap,True,False,True
How does Python work as a programming language?,cache,context_injection,528,0,528,100.0%,True,semantic_direct,0.8735180497169495,cheap,False,False,False
What are the applications of artificial intelligence?,cache,context_injection,527,315,212,40.2%,False,,,cheap,False,False,False
Describe the types of machine learning algorithms,cache,context_injection,526,314,212,40.3%,False,,,cheap,False,False,False
What is quantum computing?,cache,cache_miss,370,276,94,25.4%,False,,,cheap,False,False,False
Explain blockchain technology,cache,cache_miss,522,310,212,40.6%,False,,,cheap,False,False,False
How does cloud computing work?,cache,cache_miss,525,313,212,40.4%,False,,,cheap,False,False,False
"Based on the information about Python, explain its key features",compression,long_context,530,318,212,40.0%,False,,,cheap,False,False,False
"I need a comprehensive explanation of how transformer architectures work in natural language processing. Please cover the attention mechanism in detail, explaining how self-attention allows the model to focus on different parts of the input sequence. Explain the encoder-decoder structure and how it processes sequences. Describe how positional encoding works and why it's necessary for transformers. Explain the multi-head attention concept and how it allows the model to attend to information from different representation subspaces. Compare how transformers differ from previous RNN and LSTM models, highlighting the advantages and disadvantages. Also explain the training process including pre-training and fine-tuning phases. Describe the role of self-attention in detail and provide examples of real-world applications of transformer models in modern AI systems. Include information about BERT, GPT, and other popular transformer architectures.",compression,long_query,677,465,212,31.3%,False,,,cheap,False,False,False
"Can you provide a detailed comparison between different cloud computing platforms including AWS, Azure, and Google Cloud Platform? I want to understand the differences in pricing models, how each platform structures their costs, and which is most cost-effective for different scenarios. Compare their service offerings across compute, storage, networking, databases, and machine learning services. Explain geographic availability and data center locations for each platform. Compare security features including encryption, compliance certifications, and identity management. Analyze integration capabilities with existing enterprise systems and third-party tools. Recommend which platform would be best for startups, enterprise applications, machine learning workloads, and data analytics use cases. Include information about free tiers, pricing calculators, and cost optimization strategies.",compression,long_query,657,445,212,32.3%,False,,,cheap,False,False,False
"Explain in detail how neural networks learn from data through the backpropagation algorithm. Describe the forward pass where input data flows through the network layers and produces predictions. Explain how loss functions measure the difference between predictions and actual values. Detail the backward pass where gradients are calculated and propagated back through the network. Explain how gradient descent optimization updates the network weights to minimize the loss. Compare different optimization algorithms like SGD, Adam, and RMSprop. Describe regularization techniques like dropout and L2 regularization that prevent overfitting. Explain how batch normalization helps with training stability and convergence. Include information about learning rates, epochs, and how to monitor training progress.",compression,long_query,649,1137,0,0.0%,False,,,premium,False,False,False
